Actions,Partner ID,Type,Partner Name,Email Address,Contact Number,Website,Primary Email,Primary Contact,Other Contacts,Address,City,State,Country,PIN/ZIP Code,Other Locations
,101,NGO,IIT-Bombay Spoken Tutorials team,priyankashroff23@gmail.com,+91 9869326979,https://spoken-tutorial.org,-, -,-,-,-,-,-,-,-
,102,NGO,Moinee Foundation,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,103,NGO,Katha,info@katha.org,+91 1141416600,https://www.katha.org,-, -,-,-,-,-,-,-,-
,104,NGO,KidEx ,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,105,NGO,Upay,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,106,NGO,Tata ClassEdge,tataclassedge@gmail.com,+91 9000090001,,user@ypointanalytics.com, TBD,-,-,-,-,-,-,-
,107,NGO,IIT-M's Pravartak center,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,108,NGO,Space-i-fic,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,109,NGO,Enabling Leadership,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,110,NGO,Scholar Planet,scholarplanet@gmail.com,+91 9000010010,,user@ypointanalytics.com, TBD,-,-,-,-,-,-,-
,111,NGO,InquiLab,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,112,NGO,Diksha,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,113,NGO,Bharitiya Jain Sangathan (BJS),Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,114,NGO,Ashwattha,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,115,NGO,SLAM Labs,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,116,NGO,IIT Jodhpur,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,117,NGO,EQUBE,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,118,NGO,Gram Samriddhi Foundation,info@gramsamriddhi.org,+91 8584866868,https://gramsamriddhi.org/,nirmal@hcsinfo.com,+91 9831061925,-,-,-,-,-,-,-
,119,NGO,RuKart,namaste@rukart.org,+91 8956341910,https://rukart.org,-, -,-,-,-,-,-,-,-
,120,NGO,CES and SOBUS,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,121,NGO,UnitedWay,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,122,NGO,IIT-Bombay Health Spoken Tutorials,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,123,NGO,NOBA GSR,info@nobagsr.org,+91 6202064224,https://nobagsr.org/,-, -,-,-,-,-,-,-,-
,124,NGO,Saukhyam,info@saukhyampads.org,+91 6282103073,https://saukhyampads.org,praveenbist@saukhyampads.org,+91 9746661829,-,-,-,-,-,-,-
,125,NGO,SmartCare Doc,Info@smartcaredoc.com,+91 4069030303,https://www.smartcaredoc.com/,-, -,-,-,-,-,-,-,-
,126,NGO,Yoga for Immortals,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,127,NGO,Feeling Minds ,feelingmindsindia@gmail.com,+91 9837007165,https://www.feelingminds.com/,arvind.pandey@rrglobal.com,+91 9323441699,-,-,-,-,-,-,-
,128,NGO,PeakMind,neeraj@peakmind.in,+91 9845065733,https://www.peakmindapp.com,-, -,-,-,-,-,-,-,-
,129,NGO,MedoPlus,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,130,NGO,Sai Madhusudan Trust ,krishnamohan.pv@e1e1foundation.org,+91 9304973146,,krishnamohan.pv@e1e1foundation.org,+91 9304973146,-,-,-,-,-,-,-
,131,NGO,AkshayPatra,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
