Actions,Domain,Solution ID,Solution,Status,Details,Launch Year,Key Problems Addressed,Partner,Key Solution Elements,Unique Value Proposition,Expected Social Impact,Solution Traction,Partner Type,Address,City,State,Country,PIN/ZIP Code,Email,Contact Number,Website,Target Beneficiaries,Resources,Key Costs,Other Partners,Awards & Recognition,Created By,Created Email ID,Other Locations
,,201,Spoken Tutorials (IT Skills Enablement),Mature,"Spoken Tutorials, a mass-market communications & learning innovation developed at IIT-Bombay, has developed a self-learning model. It takes learning from movie-industry and follows a rigorous engineering in the development process so that a learner will never have to ask any questions from an expert or coach. This approach has produced a solution that has limitless scale, almost zero cost, affords rapid deployment speed over a highly distributed and resource-constrained learner populations (in terms of language, funds, facilities, accessibility etc). Available in both online and offline mode, it has already covered 90+ IT topics (introduction to advanced programming), and in 23+ local languages to overcome barrier of English proficiency.",2018,"Like rest of the world, as India's economy shifts to 'digital economy' model, IT skills will be needed in almost every good-paying job. Lack of IT skills reduces employability of young people in small towns and villages, impacting nearly 300 million job-ready youth. However, there is no cost-effective way of providing such training at scale in the multiple languages prevalent in India while ensuring the required quality. ",IIT-Bombay Spoken Tutorials team,"Series of about 10-min long self-learning tutorials, which may be anywhere from 3 to 50+, depending on the solution complexity; Access to computers (preferably desktops) for practicing the learnt materials, all configured with open-source software so as to minimize cost to learn; connectivity for test administration and scoring.",IIT-Bombay Spoken Tutorials team,Impact in hundreds of millions of dollars in economic benefit when the cost per student per year per IT topic of less than a penny is compared to alternatives that costs several hundred dollars per course.,8m learners across 5000+ colleges and universities and High-Schools. Prisons in Nasik. CSC (Community Service Centers) in Delhi area -- these are entreprenurial driven coaching centers.,NGO,IIT Bombay Powai Mumbai Maharashtra India 400076,Mumbai,Maharashtra,India,400076,priyankashroff23@gmail.com,+91 9869326979,https://spoken-tutorial.org," More than 300m learners across India, and nearly billions globally. Large school networks (like PM Shri Schools, Ekal, Eklavya), Education Secretaries in States.",Existing computer lab with few (just one) to 20 computers (depending upon the target class size); configured Open Source software packages for practice,"Needs only Rs 25,000 per year per college/school/site. In that annual licensing fee, all students in that institution gets access to ALL spoken tutorials topic in all languages, testing and scoring, certificates, and support. Almost less than a penny per topic per student per year!!",,"Hundreds of articles in media, Government departments, colleges and universities; Testimonials by students getting good-paying IT jobs in Global 1000 companies like Amazon, Microsoft, Accenture.",1,info@ypointanalytics.com,-
,,206,Tata ClassEdge,Draft,"Tata ClassEdge solution: Structured lessons per annual lesson plans for K-12, to augment class teachers; Requires H/W, content licensing, and initial training. instructional e-learning curriculum and technology solutions specifically created for Indian schools, teachers and students",2022,Tata ClassEdge was conceptualized in 2011 with the aim of improving the effectiveness of education systems in India. Addresses the lack of quality teachers in K-12 space.,Tata ClassEdge,Large monitor display; annual license; server ,Tata ClassEdge,Several thousand high-schools,"Reaching 15 lac+ students, 1.25 lac teachers, 1900+ schools, 30,000+ classrooms",NGO,TBD  Chennai Tamil Nadu India 102333,Chennai,Tamil Nadu,India,102333,tataclassedge@gmail.com,+91 9000090001,,Solution can be taken to every Middle and high schools,"Server, software license",Need 1 lac per scool per year license,,State Govt of Tamilnadu,1,info@ypointanalytics.com,-
,,207,Pravartak STEM Classes,Pending,Pravartak STEM Classes and Virtual Labs: Online classes on STEM topics by teachers from IIT for 8th-12th grade; ,2022,"Provides an eco-system that enables fundamental research to translate to products, thus integrating academics, industry, government and international organizations.",IIT-M's Pravartak center,Display unit,IIT-M's Pravartak center,Hundreds of High Schools,"Preparing young India for the next generation of world-class technologies. 10 International collaborations, 137 publications, 17000+ skill development sessions. ",NGO,TBD  Chennai Tamil Nadu India 422001,Chennai,Tamil Nadu,India,422001,Email TBD, Mobile TBD,,All STEM colleges,License,Annual cost 30-40k rupees,,IIT-M,1,info@ypointanalytics.com,-
,,208,STEM Education for aspiring Rural Students,Pending,"Space-i-fic: Bringing advanced STEM topics (Space & aviation, Robotics, AI) to middle and high-schools in rural & underserved areas so talented kids can be inspired to take on those subjects in colleges",2020,Lack of STEM education opportunities for students in rural India.,Moinee Foundation,server,Space-i-fic,500 schools,"The curriculum and approach are built on the four pillars of Access, Equity, Quality, and Accountability aligned with the National Education Policy 2020.",NGO,Main St  Jaipur Rajasthan India 302001,Jaipur,Rajasthan,India,302001,Email TBD, Mobile TBD,,All STEM Schools,computer lab,30-40k per school. Available in WB currently,,state govt award,1,info@ypointanalytics.com,-
,,210,Mobile App based learning,Pending,ScholarPlanet: Mobile app based learning through gaming/fun and competitions; Crowd-sourcing of learning content. Digital content is continously updated. Competitions on variety of topics with reward points approach.,2022,"Educational inequality in Govt. and Rural 
Schools, lack of quality resources, modern technology and innovative learning approach",Scholar Planet,"Interactive quizzes and gamified contests 
• Multilingual content t.
• Leaderboards and reward systems 
• Continuous teacher training programs",Scholar Planet,"Scholar Planet envisions a future where every child, regardless of their socioeconomic background, has
access to quality education and the opportunity to realize their full potential.","105 schools in UP, 50 KV, 15 schools in Ladhak",NGO,TBD  Patna Bihar India 123456,Patna,Bihar,India,123456,scholarplanet@gmail.com,+91 9000010010,,"Platform for K-12, current comprehensive material for High School Students",TBD,"Development of interactive content pedalogical and gamification. Computers, Tablets, network infrastructure for schools etc.
",,TBD,1,info@ypointanalytics.com,-
,,211,InquiLab,Pilot,InquiLab solution: Enable entreprenurial and innovatin skills in grade 7-12 through guided and structured program (in both vrtual and on-premise models),,Lack of entreprenirial skills in students,InquiLab,,InquiLab,,,NGO,-,-,-,-,-,Email TBD, Mobile TBD,,Every middle and high school,,TBD,,,1,info@ypointanalytics.com,-
,,213,"Mulyavardhan is innovative solution to bring-back values, culture and resiliency in young minds for ",Mature,"Mulyavardhan is a dynamic academic initiative focused on cultivating values and life skills among school-aged children. Drawing on the latest research in social, emotional, and ethical development (SEED), Mulyavardhan aligns with the values enshrined in the Preamble to the Constitution of India.

Mulyavardhan features meticulously designed and engaging activities for students in grades 1 through 8. These activities cover a broad spectrum of themes, including self-awareness, responsible behaviour, positive relationships, and social responsibilities.

Mulyavardhan supports students in achieving competencies outlined in the National Curriculum Framework (NCF) 2023.",2009,"Lack of understading of the basic human values, local traditions and culture in students, which often impacts mental resilience and citizenship. ",Bharitiya Jain Sangathan (BJS),Value-based curriculum for integration into main subjects; Pedagogy training; Books,"Completely integrated approach (training, books and aids, ongoing support and augmentation) to help teachers successfully integrate values into academics.",Tens of millions of students in nearly 14 lakh schools,"Implemented in 70000 schools in Maharashtra, Goa, Union Territories of Dadra Nagar Haveli and Daman and Diu.",NGO,"Level 8, Muttha Chambers II Senapati Bapat Road Pune Maharashtra India 411016",Pune,Maharashtra,India,411016,Email TBD, Mobile TBD,,K-8 School kids,"Content (books, exercises, simulations), Training, Support","Commitment by the Principal towards 1-2 period for integrated curriculum teaching; Teacher training at launch and quarterly checkpoints; Since the program needs to be integrated, it needs State Government buy-in to roll out at-scale in public schools. For private schools, they can implement without that handicap.",,Recognized by both State Governments of Maharashtra and Goa for its massive impacts on student performance and class participation. ,1,info@ypointanalytics.com,-
,,218,Affordable BioGas plants for rural households,Draft,"BioGas solution for rural / farmer households to achieve energy independence and precious savings. Fully packaged solution (with ~50% subsidy form MNRE, pre-identified supplier for digesters, step-by-step guide) to enable small farmers or rural households with just 2+ cattle to eliminate dependence on firewood or LPG, and earn income after 6-month breakeven point, by selling high-value organic fertilizer of slurry. The solution further transforms value of aging cows and animals which otherwise have diminished value in terms of milk or farming tasks.",2022,"Due to the high prices of LPG cylinders, farmers resort to local forests for firewood as an energy source, eventually leading to deforestation and the destruction of the environment. Additionally, naturally available cowdung is either wasted to simply contributes to landfills or problematic waste (with flies etc). ",Gram Samriddhi Foundation,"1)	Training in organic farming & the BioGas plant
2)	Fruit Tree Plantation
3)	Rainwater harvesting farm ponds
4)	Biogas plant - digester, pipes, connections, monitoring","Unique aspect is the complete package that includes already obtained approvals for ~50% subsidies from MNRE for nationwide deployments, sourcing agreements with validated supplier, and step-by-step simple guide. It is a very cost-effective approach for multiple goals like:
a.	Uplifting farmers from poverty by multiplying their income 5X
b.	Ecologically protecting and rejuvenating the rural environment
c.	Protecting our health from side effects of pesticides and fertilizers ","To expand and serve rural populations across India. There are about 160 million farmers in India, including 80 million small farmers holding less than 1 acre land. Most of them are stuck in a vicious poverty cycle, in need of interventions that are mentioned above to improve their living conditions and alleviate poverty. Goal is to hep increase in income 5-fold compared to paddy cultivation in 2 years; Forward integration from Farm to plate; organic fruits/vegetables for cities increasing the market.","165 biogas plants have already been set up in the villages of West Bengal. Additionally, the solution has helped farmers save over Rs. 20,000 to Rs. 25,000 yearly. Expansion plans in collaboration with WHEELS to scale to other States.",NGO,"VIP Enclave, Anand Vihar, 3 Raghunathpur, Baguiati Kolkata West Bengal India 700059",Kolkata,West Bengal,India,700059,info@gramsamriddhi.org,+91 8584866868,https://gramsamriddhi.org/,"Highly repeatable program. The scope of expansion is to reach millions of farmer families. In West Bengal alone,  solution is being taken to 40,000 villages, in which 90% are small and marginal farmers.","Local Farmers, NGOs, Govt Schemes, Line Departments in the Govt","With 50% subsidy, it costs ~18k. With just 2+ cattle to eliminate dependence on firewood or LPG, and earn income after 6-month breakeven point, by selling organic fertilizer of slurry.",,State Govt and MNRE recognitions,1,info@ypointanalytics.com,-
,,219,RuKart - Subjee Cooler - Zero-energy Cold Storage,Mature,"Zero-energy Cold Storage solution for small fruit/vegetable retailers farmers who can't afford expensive freezers, and also face very uneven / limited supply electricity. Very affordable box with less than a year of payback. It prevents wastage of unsold daily inventory of fresh fruits/vegetables/flowers that typically robes the small farmer-retailer of 30% of his daily revenue/income. 
A very compelling innovation from young graduates of IIT Bombay leveraging their knowledge of material science, and acute awareness of small rural farmers' challenging while growing up in those households.",2019,"Lack of cold storage facility for marginal farmers in rural areas. For farmers, storage technologies are too costly, out of reach, and futile.",RuKart,"Cold storage box in various sizes (50 Kg storage, 100 kg storage, personal storage for household, mobile cooler)","Ingenious leverage of material science expertise to create a simple rectangle box (with several compartments for different fruits/vegetables/flowers) that just needs periodical water to fill in the sandwiched metal layers. It keeps the ambience temperature of 5-15 degrees, requiring no electricity or energy, thus savings on costs as well as environment (greenhouse emissions).",Savings of thousands of tonnes of wasted fruits and vegetables from 10m farmers; Increase in income by 30% or more for small farmers; Miilions of tons in greenhouse gas emissions,"Nearly 2000 Sabjee Coolers already installed across 11 states. In a life span of 7 years, one Subjee Cooler saves about CO2  equivalent of 3,211 full grown trees. Several States offering subsidies. Also banks providing EMI option to make it further affordable.",NGO," 301, B-wing, Mangeshi Elite, Rambaug Lane No 4 Chikanghar, Kalyan (West) Thane Maharashtra India 421301",Thane,Maharashtra,India,421301,namaste@rukart.org,+91 8956341910,https://rukart.org,"51 million farmers are cultivating Flower, Fruit, and Vegetables. Along with these 51 million small and marginal cultivators there are about 2.5 million Flower, Fruit, and Vegetables retailers in India who need solutions like Subjee Cooler.","Just one-time purchase of the Subjee Cooler of about Rs 40,000. ","At about Rs 40,000 for 50-Kg box and Rs 55,000 for 100-kg box",,Earth Care Award in 2024,1,info@ypointanalytics.com,-
,,222,Newborn & Maternal Nutritional Health,Mature,"Newborn & Maternal Nutritional Health via Health Spoken Tutorials solution addresses very pervasive (across ALL 29 States and 9 UTs in India) early childhood malnutrition (age 0-5) with malnutrition rates of 50%+ in rural and tribal populations, using three technologies (Dr Rupal Dalal's pioneering research on proper breastfeeding techniques, IIT-Bombay's Health Spoken Tutorials platform, Cuedwell's orchestration software platform) to tackle this urgent need. Solution consists of 110+ 10-min health spoken tutorials (HST) to cover nearly 45 technical points for proper breastfeeding techniques, balanced nutritional intake for mothers as well as for supplementary and complementary feeding of infants. HSTs are used to train entire health infrastructure (CMHOs, pediatricians, nurses, ANMs, ASHA & Anganwadi workers) given the pervasive lack of awareness of proper breastfeeding techniques (which is the primary root cause of pervasive malnutrition in newborns) and balanced nutrition, using a rigorous 5-step training and capacity building methodology that ensures every health worker has mastered all the skills and is able to successfully teach the mothers for next 15-20 years. ",2021,"Childhood malnutrition remains a major issue in virtually all parts of India in spite of the progress made in recent years. Mothers lack knowledge of proper breastfeeding, complementary feeding and looking after their own nutrition needs. ASHA & Aanganwadi workers need the right training themselves to be able to support these mothers effectively. But it has been challenging to deliver the training in an engaging and accessible way while ensuring high quality & monitoring post-training.",IIT-Bombay Spoken Tutorials team,"HSTs (110 in nearly dozen local languages), rigorous 5-step training methodology, Cuedwell application for end-to-end learning management and impact tracking and results and real-time decision-making; learning kits","Learning of proper breastfeeding techniques has consistently resulted in nearly five-times weight gain in critical first 6-12 months of life, eliminating stunting / severe malnourished babies, which otherwise would remain mentally and physically underdeveloped for life.",More than 200 million babies and mothers,"The rollout in Nandurbar, Maharashtra achieved phenomenal success in improving the daily weight gain of newborns from around 10 gms/day to nearly 35 gms/day, well exceeding targeted national standard. From there, the program has expanded to five other districts in Maharashtra, Gujarat, and Chattisgarh. WHEELS and IIT-B/HST team is actively deploying the initiative to the entire State of M.P. and Meghalaya. Four more large States in active negotiations. ",NGO,IIT Bombay Powai Spoken Tutorials Divisionb Mumbai Maharashtra India 400076,Mumbai,Maharashtra,India,400076,priyankashroff23@gmail.com,+91 9869326979,https://spoken-tutorial.org,200 million babies and mothers across all 28 States and 8 UTs.,"IEC kits, HST, training facilities, Cuedwell application","Low cost and zero recurring costs, Very strong analytics digitized platform used with a train-the-trainer approach to cascade across nearly hundred thousand health workers in each large State, which then imparts proper breastfeeding techniques and nutritional intake knowledge to new mothers. Ample  Govt funds to be leveraged for training activities in a creative public-private partnership as shown in M.P. and Meghalaya. ",,Numerous State and health association awards and testimonials.,1,info@ypointanalytics.com,-
